creek sample,creek name,rich.can,div.can,rich.ba,div.ba,rich.stem,div.stem,imp.cover,avgdurationdry,eventsperyear,wsarea
MC,Maverick,23,2.054324445,24,2.116866473,24,2.150475755,18.09,180.9,1.4,17.9316
SC,Salado,14,1.678837813,19,1.885903555,19,1.537877952,12.12,156.2,2.1,91.2546
LCT,Leon Creek Trib,8,1.114723896,12,1.568220735,12,1.661888999,45.17,64.1,4.4,2.66
FC,French,18,1.519870156,14,1.759444977,14,1.326656342,41.18,20.7,18.4,31.7061
GC,Gov Canyon,18,1.991536809,19,1.955672514,19,1.88300316,1.04,345,0,37.8684
GCT,Gov Canyon Trib,15,1.917421912,17,1.485860993,17,1.327972031,0,565,0,2.28
HC,Huesta,23,1.953828233,25,2.068463793,25,1.13050164,19.42,54.4,7,14.2245
LC,Leon,24,2.177792926,21,1.83355954,21,2.310977767,18.12,87.9,3.7,112.3029
