creek sample,creek name,native.can,dt.vh.can,dt.h.can,dt.mh.can,dt.m.can,dt.l.can,dt.overall.can,ht.vh.can,ht.h.can,ht.mh.can,ht.m.can,ht.l.can,wu.lh.can,wu.lmh.can,wu.h.can,wu.m.can,wu.lm.can,wu.l.can,native.ba,dt.vh.ba,dt.h.ba,dt.mh.ba,dt.m.ba,dt.l.ba,dt.overall.ba,ht.vh.ba,ht.h.ba,ht.mh.ba,ht.m.ba,ht.l.ba,wu.lh.ba,wu.lmh.ba,wu.h.ba,wu.m.ba,wu.lm.ba,wu.l.ba,native.stem,dt.vh.stem,dt.h.stem,dt.mh.stem,dt.m.stem,dt.l.stem,dt.overall.stem,ht.vh.stem,ht.h.stem,ht.mh.stem,ht.m.stem,ht.l.stem,wu.lh.stem,wu.lmh.stem,wu.h.stem,wu.m.stem,wu.lm.stem,wu.l.stem
MC,Maverick,0.980680656,0.174074149,0.46086443,0.044616113,0.256865455,0.063579854,0.936420147,0.687722003,0.292958654,0.019319344,0,0,0.09530006,0.024941166,0.038638688,0.181215154,0.161893815,0.498011118,1,0.205716845,0.384239855,0.051243598,0.286249948,0.072549751,0.927450246,0.550166587,0.418569682,0.031263728,0,0,0.072913021,0.041286023,0.031263728,0.151532593,0.249901506,0.453103126,1,0.165199784,0.405410451,0.059774057,0.297077716,0.072537994,0.927462008,0.539682672,0.450620697,0.009696633,0,0,0.067180241,0.062841361,0.009696633,0.185232409,0.254651655,0.420397703
SC,Salado,0.97180581,0.19654242,0.530406294,0.015070429,0.257980858,0,1.000000001,0.745125138,0.254874863,0,0,0,0.087874944,0,0,0.257980858,0.030140858,0.624003341,0.990537078,0.188915542,0.579257138,0.038687367,0.193139954,0,1.000000001,0.695173308,0.288831435,0,0.015995258,0,0.075381629,0,0,0.235347946,0.09832797,0.590942456,0.976483121,0.117513069,0.56294313,0.032048104,0.287495697,0,1,0.665613787,0.321815912,0,0.012570301,0,0.056216093,0,0,0.311336221,0.082714316,0.54973337
LCT,Leon Creek Trib,1,0.426110133,0.409282309,0.018289729,0.146317829,0,1,0.692361734,0.307638266,0,0,0,0.036579457,0,0,0.109738372,0.054869186,0.798812985,1,0.420807797,0.420542345,0.019067064,0.133227105,0.006355688,0.993644311,0.747198023,0.252801976,0,0,0,0.044033498,0.006355688,0,0.139582793,0.052092187,0.757935833,1,0.300067936,0.428374534,0.015582352,0.240392825,0.015582352,0.984417647,0.798716466,0.201283533,0,0,0,0.085348059,0.015582352,0,0.255975177,0.042571778,0.600522633
FC,French,0.972023002,0.141928598,0.53559411,0,0.283481643,0.03899565,0.961004351,0.580641418,0.419358583,0,0,0,0.143111756,0.022843123,0.016152527,0.227527647,0.091889248,0.4984757,0.954407958,0.177576455,0.468954051,0.037110401,0.281458651,0.034900442,0.965099558,0.618964745,0.365388136,0,0.015647119,0,0.12272644,0.034900442,0,0.22860392,0.104328778,0.50944042,0.933361697,0.13333064,0.410391562,0.032673719,0.39093036,0.032673719,0.967326281,0.54846181,0.410208841,0,0.041329349,0,0.060247361,0.032673719,0,0.324292057,0.103227331,0.479559532
GC,Gov Canyon,0.968710446,0.19109047,0.437476595,0.015644777,0.297250763,0.058537395,0.941462605,0.68006648,0.261396125,0.058537395,0,0,0.097701601,0,0.074182172,0.187737324,0.16662128,0.473757623,1,0.228374896,0.338526186,0.039832267,0.339873312,0.053393339,0.946606661,0.674303464,0.278941908,0.046754628,0,0,0.091700765,0.006638711,0.046754628,0.203492629,0.253893027,0.39752024,1,0.217567651,0.319546948,0.045656684,0.364201317,0.0530274,0.9469726,0.634301194,0.335499748,0.030199058,0,0,0.080710377,0.022828342,0.030199058,0.206454336,0.28511516,0.374692727
GCT,Gov Canyon Trib,0.986838569,0.186946662,0.448211192,0.013161431,0.319441924,0.032238791,0.967761209,0.657630068,0.342369932,0,0,0,0.096716372,0.032238791,0,0.129625064,0.257244262,0.484175511,1,0.130389709,0.351089569,0.011899393,0.43112033,0.075501,0.924499001,0.536813464,0.463186537,0,0,0,0.062821833,0.075501,0,0.155041875,0.302551569,0.404083724,1,0.122543968,0.313196691,0.0136434,0.469900502,0.080715442,0.919284561,0.498147858,0.501852145,0,0,0,0.040930199,0.080715442,0,0.168662391,0.331591195,0.378100776
HC,Huesta,0.850571609,0.185432945,0.469418866,0.040210534,0.292528414,0.01240924,0.987590759,0.688083295,0.259464208,0,0.052452496,0,0.094912437,0.01240924,0,0.254280567,0.115149968,0.523247787,0.889511342,0.223207271,0.410310149,0.036135888,0.308707784,0.021638907,0.978361092,0.728456546,0.212306851,0,0.059236602,0,0.074615459,0.021638907,0,0.263631097,0.128473008,0.511641528,0.901192483,0.147951033,0.392042731,0.030090313,0.403465064,0.026450862,0.973549141,0.745858613,0.210891795,0,0.043249595,0,0.052117951,0.026450862,0,0.370130311,0.103431165,0.447869714
LC,Leon,0.989693336,0.140926907,0.574668055,0,0.198936734,0.085468303,0.914531696,0.695385443,0.27546291,0.014575823,0,0.014575823,0.083731731,0,0.109357472,0.216788399,0.097029132,0.493093265,1,0.153944639,0.479436433,0,0.263766441,0.102852488,0.897147513,0.741016693,0.258983308,0,0,0,0.044821107,0.009702538,0.133307208,0.244006792,0.072132014,0.496030342,1,0.193073674,0.506953451,0,0.220479228,0.079493649,0.920506353,0.59500974,0.404990262,0,0,0,0.060727744,0.033947841,0.102351411,0.169962189,0.08135846,0.551652357
