Site Name,COMID,CatchmentAreaSqKm,WatershedAreaSqKm,PctOpenwater2019Cat,PctUrbOpenSpace2019Cat,PctUrbLo2019Cat,PctUrbMd2019Cat,PctUrbHi2019Cat,PctImpervious2019Cat,PctBarren2019Cat,PctDecid2019Cat,PctConif2019Cat,PctMxFst2019Cat,PctShrb2019Cat,PctGrs2019Cat,PctHay2019Cat,PctCrop2019Cat,PctWoodyWetland2019Cat,PctHbWet2019Cat,PctOpenwater2019Ws,PctUrbOpenSpace2019Ws,PctUrbLo2019Ws,PctUrbMd2019Ws,PctUrbHi2019Ws,PctImpervious2019Ws,PctBarren2019Ws,PctDecid2019Ws,PctConif2019Ws,PctMxFst2019Ws,PctShrb2019Ws,PctGrs2019Ws,PctHay2019Ws,PctCrop2019Ws,PctWoodyWetland2019Ws,PctHbWet2019Ws,PctImp2019CatRp100,PctImp2019WsRp100,Events/Year,Average period between floods (days)
Maverick,10835046,17.9316,17.9316,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0,0,0.01,17.19,12.67,13.63,4.43,18.09,0.09,1.09,47.57,0,2.74,0.58,0.01,0,0,0,20.6,20.6,1.4,180.9
Salado,10840230,42.3927,91.2546,0.26,9.18,13.18,18.49,6.08,22.59,3.54,2.43,37.42,0.06,7.28,2.08,0.01,0,0,0,0.13,7.53,8.17,9.53,2.99,12.12,1.86,2.61,44.57,0.04,21.39,1.17,0,0,0.02,0,17.89,8.85,2.1,156.2
Leon Creek Trib,not available from streamcat,2.66,2.66,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,0,18.89,16.36,27.89,22.29,45.17,1.05,0.34,10.99,0,1.75,0.44,0,0,0,0,54.5,54.5,4.4,64.1
French,10835092,19.1142,31.7061,0,16.63,23.42,40.82,10.55,45.17,0.06,1.49,4.36,0.57,1.38,0.61,0.01,0,0.09,0,0.05,15.55,23.22,35.88,9.79,41.18,0.19,1.59,9.65,0.42,2.55,1.04,0.01,0,0.09,0,20.6,21,18.4,20.7
Gov Canyon,10835430,7.668,37.8684,0,1.26,0.48,0.21,0,0.42,0,4.06,77.52,0.23,10.95,5.02,0,0.26,0,0,0,1.2,1.17,0.82,0.03,1.04,0.04,1.09,85.02,0.06,9.36,1.17,0,0.05,0,0,2.1,0.73,0,345
Gov Canyon Trib,not available from streamcat,2.28,2.28,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0.04,0,0,0,0,0,0.91,98.22,0,0.63,0.2,0,0,0,0,0,0,0,565
Huesta,10835050,6.0759,14.2245,0,13.91,22.26,31.15,3.98,32.12,0.01,1.51,19.49,0,6.41,1.17,0.01,0,0.07,0,0,11.56,13.74,18.75,2.21,19.42,0.14,1.02,44.8,0.16,6.66,0.91,0.01,0,0.03,0,21.59,14.18,7,54.4
Leon,10835044,20.1204,112.3029,0.05,10.6,11.63,18.97,20.11,35.56,4.87,2.05,20.48,0.02,8.63,2.57,0.02,0,0.01,0,0.05,12.68,12.55,12.02,5.74,18.12,1.17,1.76,32.72,0.04,18.75,2.51,0.01,0,0,0,23.63,13.14,3.7,87.9
