SiteAbbrev,Site,drought,heat,wateruse,nonnative
MC,Maverick,3.424987568,4.668402663,4.826458705,0.019319344
SC,Salado,3.665510279,4.745125142,5.102397656,0.02819419
LCT,Leon Creek Trib,4.115184746,4.692361734,5.579336242,0
FC,French,3.457978366,4.580641422,4.731316436,0.027976998
GC,Gov Canyon,3.405331982,4.621529085,4.696186808,0.031289554
GCT,Gov Canyon Trib,3.43818501,4.657630068,4.999923749,0.013161431
HC,Huesta,3.522937859,4.583178299,4.959411424,0.149428391
LC,Leon,3.486648526,4.637082147,4.58767978,0.010306664
